"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"5","NDVI.CI","0.54, p < 0.0001","0.11, p = 0.0343","0.293",669.73,0
"1","NDVI.CI","0.54, p < 0.0001","-","0.280",672.27,2.53999999999996
"6","GNDVI.CI","0.46, p < 0.0001","0.12, p = 0.0328","0.218",695.21,25.48
"7","GNDVI.CI","0.46, p < 0.0001","0.12, p = 0.0328","0.218",695.21,25.48
"2","GNDVI.CI","0.46, p < 0.0001","-","0.204",697.83,28.1
"3","GNDVI.CI","0.46, p < 0.0001","-","0.204",697.83,28.1
"4","-","-","0.12, p = 0.0556","0.014",751.97,82.24
