"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"1","NDVI.CI","0.84, p < 0.0001","-","0.673",457.56,0
"5","NDVI.CI","0.84, p < 0.0001","0.03, p = 0.3395","0.675",458.64,1.07999999999998
"2","GNDVI.CI","0.76, p < 0.0001","-","0.568",527.35,69.79
"3","GNDVI.CI","0.76, p < 0.0001","-","0.568",527.35,69.79
"6","GNDVI.CI","0.76, p < 0.0001","0.04, p = 0.2813","0.570",528.17,70.61
"7","GNDVI.CI","0.76, p < 0.0001","0.04, p = 0.2813","0.570",528.17,70.61
"4","-","-","0.04, p = 0.5145","0.002",735.8,278.24
