"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"1","NDVI.CI","0.14, p = 0.1687","-","0.045",43.15,0
"2","GNDVI.CI","0.12, p = 0.2588","-","0.030",43.8,0.649999999999999
"3","GNDVI.CI","0.12, p = 0.2588","-","0.030",43.8,0.649999999999999
"5","NDVI.CI","0.14, p = 0.1742","-0.01, p = 0.9533","0.045",45.14,1.99
"4","-","-","0.01, p = 0.9370","0.000",45.15,2
"6","GNDVI.CI","0.12, p = 0.2642","-0.01, p = 0.9270","0.030",45.79,2.64
"7","GNDVI.CI","0.12, p = 0.2642","-0.01, p = 0.9270","0.030",45.79,2.64
