"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"1","NDVI.CI","0.84, p < 0.0001","-","0.675",507.31,0
"5","NDVI.CI","0.84, p < 0.0001","0.02, p = 0.4597","0.675",508.75,1.44
"2","GNDVI.CI","0.76, p < 0.0001","-","0.564",593.41,86.1
"3","GNDVI.CI","0.76, p < 0.0001","-","0.564",593.41,86.1
"6","GNDVI.CI","0.76, p < 0.0001","0.03, p = 0.4724","0.565",594.89,87.58
"7","GNDVI.CI","0.76, p < 0.0001","0.03, p = 0.4724","0.565",594.89,87.58
"4","-","-","0.02, p = 0.7439","0.000",836.39,329.08
