"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"1","NDVI.CI","0.64, p < 0.0001","-","0.571",31.61,0
"5","NDVI.CI","0.65, p < 0.0001","-0.06, p = 0.5377","0.575",33.2,1.59
"2","GNDVI.CI","0.54, p < 0.0001","-","0.376",48.12,16.51
"3","GNDVI.CI","0.54, p < 0.0001","-","0.376",48.12,16.51
"6","GNDVI.CI","0.56, p < 0.0001","-0.07, p = 0.5150","0.383",49.66,18.05
"7","GNDVI.CI","0.56, p < 0.0001","-0.07, p = 0.5150","0.383",49.66,18.05
"4","-","-","0.01, p = 0.9334","0.000",68.88,37.27
